date_time,Wadon,Green Fire,Gold Star,ISS,Fjord Fun,Austrian white water,Netpun,Pirates of Bavaria,Dino Garden,Ferry Boat,temperature,weather,month,day_of_week,is_holiday
2020-01-01,12.060846971575252,12.130221253842635,12.163904709603806,12.222399032215955,1.567720382722979,1.3466449631559367,1.406455201918753,3.409040103543959,3.663976652851309,3.4400561680747432,9.935795315850788,sunny,1,2,False
2020-01-02,12.141831066156747,12.535671487376694,12.381937223125846,12.548464417524608,1.550353673783264,1.6949204181783177,1.5934845708990937,3.7646978017111015,3.865690463879565,3.7638180764720865,10.052953224118742,sunny,1,3,False
2020-01-03,11.42696374739613,11.575797752185991,11.384858545476524,11.477178936390716,0.9428703206328506,1.0204048659405573,1.0345175016834662,2.786166537977643,2.9103502166589585,2.9583849098726205,9.398385264051782,sunny,1,4,False
2020-01-04,17.191124034168244,17.34953449105079,17.256461589545385,17.17640664226197,5.792243267424968,5.862134038275342,5.743439664539021,8.220911621881244,8.556464484377729,8.38886694390105,9.598292377561497,sunny,1,5,False
2020-01-05,16.23095493881625,16.298488383687395,16.408898688195155,16.412816244888415,5.061217917875044,4.771981008859478,5.148172877173359,7.882748296196261,7.899742631783131,7.784059139454006,11.068757367517804,sunny,1,6,False
2020-01-06,11.894887569633399,11.777007104018645,11.891571926382397,11.857383695681259,1.298286105862841,1.530442049615882,1.4241399306082416,3.600875622782272,3.328845147812442,3.4927117856519683,9.947334502362017,sunny,1,0,False
2020-01-07,12.196236826940394,11.819424008322871,12.04790786154856,12.208731257140693,1.4088591334602878,1.4931027485694628,1.2300763676042579,3.5503579688712343,3.666583374223206,3.7323797716645815,9.971312419507237,sunny,1,1,False
2020-01-08,11.565955332218977,11.80191465589335,11.696579367299362,11.65180090222829,0.9813694792406986,1.162668396710023,1.1450167260097626,3.2944727823951614,3.0428758722064315,3.2129822662420344,8.632244409997861,sunny,1,2,False
2020-01-09,12.1176221511169,11.925475155708796,11.967423913806577,11.956308483499017,1.2613118516496213,1.4214349445623276,1.4345598271620223,3.3077692504402183,3.5361542173662657,3.3664908943873204,9.414228637213654,sunny,1,3,False
2020-01-10,12.662164412831556,12.79698918399279,12.648328865218778,12.388299136064228,1.6696938640265524,1.5988622708563103,1.6208368848483141,3.954469928593601,3.9426760691262572,3.896220173151424,10.24892414234352,sunny,1,4,False
2020-01-11,16.232731219951585,16.534079465584657,16.378230647724497,16.141661065924037,4.9882581978855285,4.857220951317564,4.9563380177693235,7.643652723719853,7.43272129449026,7.801081345338866,9.311936289788475,sunny,1,5,False
2020-01-12,16.242836391281084,16.284058126377342,16.248727115551077,16.54525355709936,4.479571441690717,4.890644727677701,4.7904073664892595,7.706957937075398,7.58311532222027,7.698540456225122,10.587554809232783,sunny,1,6,False
2020-01-13,11.820465802710418,11.743643596281332,11.836600155857603,11.98003194592298,1.278432504167628,1.3153806787082722,1.3662046353209971,3.3582701204066923,3.367233345700344,3.2276761686774598,10.164354163373694,sunny,1,0,False
2020-01-14,11.912190494275741,11.442110077618139,11.591205282476649,11.854257128089268,1.082771350966511,0.9657808030088066,1.1166609552321223,2.9390946219997507,2.995546991425149,2.9887321668043434,10.38289413842336,sunny,1,1,False
2020-01-15,12.092010812588656,11.724485359237761,12.033034220003522,11.798946047072,1.2518879439606636,1.2234638342788418,1.257228639930777,3.246954293793427,3.506546752097401,3.067714021993506,9.883778922024787,sunny,1,2,False
2020-01-16,11.983760688821448,11.768468843504559,12.055559271431578,11.924257436408842,1.4349434000021872,1.441777763891199,1.4374547641896764,3.5458137268004077,3.4997974727093193,3.546707418437034,10.254737070499225,sunny,1,3,False
2020-01-17,12.220709646400971,12.336086529191787,12.258920549591691,12.286513878138223,1.678958489063736,1.6970280189699702,1.4668470833392562,3.871931570130574,3.766354332343832,3.7709651033809837,10.70945869134078,sunny,1,4,False
2020-01-18,16.82271333976864,16.863931134066604,16.751554984624573,16.700361232329374,5.154011426739964,5.09510030496874,5.434949852089344,7.981371906035339,8.143525552449765,7.913978901865381,9.94790769658582,sunny,1,5,False
